model,augmentation,weight_type,metric,f1_macro,f1_micro,accuracy
ResNet-50,base,pre-training,0.9704671502113342,0.9460790157318115,0.9704671502113342,0.9704671502113342
ResNet-50,base,finetune,0.9878067970275879,0.9793010354042053,0.9878067970275879,0.9878067970275879
ResNet-50,base,sgd_finetune,0.9869358539581299,0.9774413108825684,0.9869358539581299,0.9869358539581299
ResNet-50,sobel,pre-training,0.9502770900726318,0.9086625576019287,0.9502770900726318,0.9502770900726318
ResNet-50,sobel,finetune,0.9840063452720642,0.9801928400993347,0.9840063452720642,0.9840063452720642
ResNet-50,sobel,sgd_finetune,0.9844813942909241,0.980464518070221,0.9844813942909241,0.9844813942909241
ResNet-50,hist_eqal,pre-training,0.9627078175544739,0.9426475167274475,0.9627078175544739,0.9627078175544739
ResNet-50,hist_eqal,finetune,0.9876484274864197,0.9823756814002991,0.9876484274864197,0.9876484274864197
ResNet-50,hist_eqal,sgd_finetune,0.9900237321853638,0.9851404428482056,0.9900237321853638,0.9900237321853638
ResNet-50,normalisation,pre-training,0.9661124348640442,0.9482460021972656,0.9661124348640442,0.9661124348640442
ResNet-50,normalisation,finetune,0.9853523373603821,0.972988486289978,0.9853523373603821,0.9853523373603821
ResNet-50,normalisation,sgd_finetune,0.9853523373603821,0.9740235805511475,0.9853523373603821,0.9853523373603821
ResNet-50,traffic_boost,pre-training,0.9603325128555298,0.924963116645813,0.9603325128555298,0.9603325128555298
ResNet-50,traffic_boost,finetune,0.9878067970275879,0.9839871525764465,0.9878067970275879,0.9878067970275879
ResNet-50,traffic_boost,sgd_finetune,0.9885193705558777,0.9841737747192383,0.9885193705558777,0.9885193705558777
ResNet-50,edge_boost_str_2_sig_7_0,pre-training,0.9488519430160522,0.9071066379547119,0.9488519430160522,0.9488519430160522
ResNet-50,edge_boost_str_2_sig_7_0,finetune,0.9879651665687561,0.9800522327423096,0.9879651665687561,0.9879651665687561
ResNet-50,edge_boost_str_2_sig_7_0,sgd_finetune,0.9889944791793823,0.9820570945739746,0.9889944791793823,0.9889944791793823
ResNet-50,hist_equal_augmented_weighted_loss,sgd_finetune,0.9900237321853638,0.9855937361717224,0.9900237321853638,0.9900237321853638
ResNet-50,hist_equal_augmented_balanced,sgd_finetune,0.9883610606193542,0.984467089176178,0.9883610606193542,0.9883610606193542
Swin Transformer V2-T,base,pre-training,0.9842438697814941,0.9776502847671509,0.9842438697814941,0.9842438697814941
Swin Transformer V2-T,sobel,pre-training,0.970546305179596,0.9542272090911865,0.970546305179596,0.970546305179596
Swin Transformer V2-T,hist_eqal,pre-training,0.9834520816802979,0.9726784229278564,0.9834520816802979,0.9834520816802979
Swin Transformer V2-T,normalisation,pre-training,0.9752177596092224,0.9688284993171692,0.9752177596092224,0.9752177596092224
Swin Transformer V2-T,traffic_boost,pre-training,0.98210608959198,0.9769625067710876,0.98210608959198,0.98210608959198
Swin Transformer V2-T,edge_boost_str_2_sig_7_0,pre-training,0.9816310405731201,0.9693016409873962,0.9816310405731201,0.9816310405731201
Custom CNN + Global Attention,base,pre-training,0.9393507242202759,0.9162235856056213,0.9393507242202759,0.9393507242202759
Custom CNN + Global Attention,base,finetune,0.9692794680595398,0.9580670595169067,0.9692794680595398,0.9692794680595398
Custom CNN + Global Attention,base,sgd_finetune,0.9692003130912781,0.9574443697929382,0.9692003130912781,0.9692003130912781
Custom CNN + Global Attention,sobel,pre-training,0.9087886214256287,0.8709544539451599,0.9087886214256287,0.9087886214256287
Custom CNN + Global Attention,sobel,finetune,0.9373713135719299,0.9079873561859131,0.9373713135719299,0.9373713135719299
Custom CNN + Global Attention,sobel,sgd_finetune,0.9433096051216125,0.9165204763412476,0.9433096051216125,0.9433096051216125
Custom CNN + Global Attention,hist_eqal,pre-training,0.9252573251724243,0.8806869387626648,0.9252573251724243,0.9252573251724243
Custom CNN + Global Attention,hist_eqal,finetune,0.9709421992301941,0.9496254324913025,0.9709421992301941,0.9709421992301941
Custom CNN + Global Attention,hist_eqal,sgd_finetune,0.971179723739624,0.9492520093917847,0.971179723739624,0.971179723739624
Custom CNN + Global Attention,normalisation,pre-training,0.8998416662216187,0.872277557849884,0.8998416662216187,0.8998416662216187
Custom CNN + Global Attention,normalisation,finetune,0.9621536135673523,0.94647216796875,0.9621536135673523,0.9621536135673523
Custom CNN + Global Attention,normalisation,sgd_finetune,0.9656373858451843,0.9526136517524719,0.9656373858451843,0.9656373858451843
Custom CNN + Global Attention,traffic_boost,pre-training,0.939984142780304,0.9169718623161316,0.939984142780304,0.939984142780304
Custom CNN + Global Attention,traffic_boost,finetune,0.966825008392334,0.9482132792472839,0.966825008392334,0.966825008392334
Custom CNN + Global Attention,traffic_boost,sgd_finetune,0.9667458534240723,0.950038731098175,0.9667458534240723,0.9667458534240723
Custom CNN + Global Attention,edge_boost_str_2_sig_7_0,pre-training,0.943230390548706,0.9115533232688904,0.943230390548706,0.943230390548706
Custom CNN + Global Attention,edge_boost_str_2_sig_7_0,finetune,0.9592240452766418,0.938894510269165,0.9592240452766418,0.9592240452766418
Custom CNN + Global Attention,edge_boost_str_2_sig_7_0,sgd_finetune,0.9623911380767822,0.9417657256126404,0.9623911380767822,0.9623911380767822
Custom CNN + Global Attention,augmented,pre-training,0.9504354596138,0.9216713905334473,0.9504354596138,0.9504354596138
Custom CNN + Global Attention,augmented,finetune,0.9725257158279419,0.9624696969985962,0.9725257158279419,0.9725257158279419
Custom CNN + Global Attention,augmented,sgd_finetune,0.9551069140434265,0.9412400126457214,0.9551069140434265,0.9551069140434265
Custom CNN + Global Attention,augmented-balanced,pre-training,0.9588282108306885,0.9457955360412598,0.9588282108306885,0.9588282108306885
Custom CNN + Global Attention,augmented-balanced,finetune,0.9604117274284363,0.9463764429092407,0.9604117274284363,0.9604117274284363
Custom CNN + Global Attention,weighted-loss-augmented-balanced,pre-training,0.9691211581230164,0.9584866762161255,0.9691211581230164,0.9691211581230164
Custom CNN + Global Attention,weighted-loss-augmented-balanced,finetune,0.9760887026786804,0.9631232619285583,0.9760887026786804,0.9760887026786804
