model,augmentation,weight_type,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,top_1_accuracy,top_5_accuracy
resnet,base,pre-training,0.11047926385091819,0.9704671502113342,0.9651941061019897,0.9424110054969788,0.9460790157318115,0.9704671502113342,0.9704671502113342,0.9704671502113342,0.9704671417260491,0.9944576405384006
resnet,base,finetune,0.04901270816717815,0.9878067970275879,0.9818382263183594,0.9788495302200317,0.9793010354042053,0.9878067970275879,0.9878067970275879,0.9878067970275879,0.9878068091844814,0.9991290577988915
resnet,base,sgd_finetune,0.05320815047518637,0.9869358539581299,0.9807718992233276,0.9773154854774475,0.9774413108825684,0.9869358539581299,0.9869358539581299,0.9869358539581299,0.9869358669833729,0.9990498812351544
resnet,sobel,pre-training,0.18465346910653688,0.9502770900726318,0.9357340335845947,0.907283365726471,0.9086625576019287,0.9502770900726318,0.9502770900726318,0.9502770900726318,0.95027711797308,0.9885193982581156
resnet,sobel,finetune,0.08075442287023914,0.9840063452720642,0.982853889465332,0.9788706302642822,0.9801928400993347,0.9840063452720642,0.9840063452720642,0.9840063452720642,0.984006334125099,0.9961995249406176
resnet,sobel,sgd_finetune,0.08254725134685807,0.9844813942909241,0.9826781749725342,0.9793997406959534,0.980464518070221,0.9844813942909241,0.9844813942909241,0.9844813942909241,0.9844813935075217,0.9954869358669833
resnet,hist_eqal,pre-training,0.1411598527317248,0.9627078175544739,0.9385476112365723,0.9572449326515198,0.9426475167274475,0.9627078175544739,0.9627078175544739,0.9627078175544739,0.96270783847981,0.9966745843230403
resnet,hist_eqal,finetune,0.04273871622010877,0.9876484274864197,0.9789637327194214,0.9867493510246277,0.9823756814002991,0.9876484274864197,0.9876484274864197,0.9876484274864197,0.9876484560570071,0.997624703087886
resnet,hist_eqal,sgd_finetune,0.03676081007225908,0.9900237321853638,0.9833093881607056,0.9876198172569275,0.9851404428482056,0.9900237321853638,0.9900237321853638,0.9900237321853638,0.9900237529691212,0.9979414093428345
resnet,normalisation,pre-training,0.1406318911277981,0.9661124348640442,0.9476183652877808,0.9572784900665283,0.9482460021972656,0.9661124348640442,0.9661124348640442,0.9661124348640442,0.9661124307205067,0.9950910530482977
resnet,normalisation,finetune,0.06842646440667252,0.9853523373603821,0.977565348148346,0.9717283844947815,0.972988486289978,0.9853523373603821,0.9853523373603821,0.9853523373603821,0.9853523357086302,0.9972288202692003
resnet,normalisation,sgd_finetune,0.06821280871571209,0.9853523373603821,0.9780364036560059,0.9732179641723633,0.9740235805511475,0.9853523373603821,0.9853523373603821,0.9853523373603821,0.9853523357086302,0.9970704671417261
resnet,traffic_boost,pre-training,0.14366278984287206,0.9603325128555298,0.9502650499343872,0.9285352230072021,0.924963116645813,0.9603325128555298,0.9603325128555298,0.9603325128555298,0.960332541567696,0.9950910530482977
resnet,traffic_boost,finetune,0.05371013646095585,0.9878067970275879,0.9859147071838379,0.9832628965377808,0.9839871525764465,0.9878067970275879,0.9878067970275879,0.9878067970275879,0.9878068091844814,0.9980205859065716
resnet,traffic_boost,sgd_finetune,0.0518524947199146,0.9885193705558777,0.9857506155967712,0.9838132858276367,0.9841737747192383,0.9885193705558777,0.9885193705558777,0.9885193705558777,0.9885193982581156,0.9980997624703087
resnet,edge_boost_str_2_sig_7_0,pre-training,0.1776757032550932,0.9488519430160522,0.9158154726028442,0.9229541420936584,0.9071066379547119,0.9488519430160522,0.9488519430160522,0.9488519430160522,0.9488519398258115,0.9874109263657957
resnet,edge_boost_str_2_sig_7_0,finetune,0.047103978411920065,0.9879651665687561,0.9802494645118713,0.9815374612808228,0.9800522327423096,0.9879651665687561,0.9879651665687561,0.9879651665687561,0.9879651623119556,0.9969121140142517
resnet,edge_boost_str_2_sig_7_0,sgd_finetune,0.042326485585599746,0.9889944791793823,0.9816280603408813,0.9840896129608154,0.9820570945739746,0.9889944791793823,0.9889944791793823,0.9889944791793823,0.9889944576405384,0.9973079968329375
resnet,hist_equal_augmented_weighted_loss,sgd_finetune,0.03733903940490058,0.9900237321853638,0.9838116765022278,0.9878920912742615,0.9855937361717224,0.9900237321853638,0.9900237321853638,0.9900237321853638,0.9900237529691212,0.9980997624703087
resnet,hist_equal_augmented_balanced,sgd_finetune,0.04427589050636244,0.9883610606193542,0.9876745343208313,0.9819822907447815,0.984467089176178,0.9883610606193542,0.9883610606193542,0.9883610606193542,0.9883610451306414,0.9969121140142517
swintransformer,base,pre-training,0.08975403080441821,0.9842438697814941,0.9816767573356628,0.9757797718048096,0.9776502847671509,0.9842438697814941,0.9842438697814941,0.9842438697814941,0.9842438638163103,0.9971496437054632
swintransformer,sobel,pre-training,0.1347716820020491,0.970546305179596,0.9591275453567505,0.9523526430130005,0.9542272090911865,0.970546305179596,0.970546305179596,0.970546305179596,0.9705463182897862,0.9951702296120348
swintransformer,hist_eqal,pre-training,0.06939041041024843,0.9834520816802979,0.9753642678260803,0.971746027469635,0.9726784229278564,0.9834520816802979,0.9834520816802979,0.9834520816802979,0.9834520981789391,0.9983372921615202
swintransformer,normalisation,pre-training,0.09903429846423528,0.9752177596092224,0.968938946723938,0.9708948135375977,0.9688284993171692,0.9752177596092224,0.9752177596092224,0.9752177596092224,0.9752177355502771,0.9969121140142517
swintransformer,traffic_boost,pre-training,0.07484480495358539,0.98210608959198,0.9761624932289124,0.9791271090507507,0.9769625067710876,0.98210608959198,0.98210608959198,0.98210608959198,0.9821060965954077,0.9988915281076801
swintransformer,edge_boost_str_2_sig_7_0,pre-training,0.07934392187765234,0.9816310405731201,0.9783287644386292,0.9659732580184937,0.9693016409873962,0.9816310405731201,0.9816310405731201,0.9816310405731201,0.981631037212985,0.9984956452889945
myModel,base,pre-training,0.263890756213719,0.9393507242202759,0.9236257672309875,0.9177885055541992,0.9162235856056213,0.9393507242202759,0.9393507242202759,0.9393507242202759,0.9393507521773555,0.9907363420427553
myModel,base,finetune,0.182656177052112,0.9692794680595398,0.9575477242469788,0.9603574275970459,0.9580670595169067,0.9692794680595398,0.9692794680595398,0.9692794680595398,0.9692794932699921,0.9939825811559778
myModel,base,sgd_finetune,0.16924729804719593,0.9692003130912781,0.9577785134315491,0.9586905837059021,0.9574443697929382,0.9692003130912781,0.9692003130912781,0.9692003130912781,0.969200316706255,0.9950910530482977
myModel,sobel,pre-training,0.4091640971005383,0.9087886214256287,0.8812217116355896,0.8764612674713135,0.8709544539451599,0.9087886214256287,0.9087886214256287,0.9087886214256287,0.9087885985748219,0.9787806809184482
myModel,sobel,finetune,0.370719913729781,0.9373713135719299,0.9215059280395508,0.9022507667541504,0.9079873561859131,0.9373713135719299,0.9373713135719299,0.9373713135719299,0.9373713380839271,0.9849564528899446
myModel,sobel,sgd_finetune,0.35010353210747575,0.9433096051216125,0.9259094595909119,0.9123801589012146,0.9165204763412476,0.9433096051216125,0.9433096051216125,0.9433096051216125,0.9433095803642122,0.9856690419635787
myModel,hist_eqal,pre-training,0.3091750764014437,0.9252573251724243,0.898717999458313,0.8784764409065247,0.8806869387626648,0.9252573251724243,0.9252573251724243,0.9252573251724243,0.9252573238321457,0.9852731591448931
myModel,hist_eqal,finetune,0.13764265459193792,0.9709421992301941,0.950045645236969,0.9517413973808289,0.9496254324913025,0.9709421992301941,0.9709421992301941,0.9709421992301941,0.9709422011084718,0.9954077593032462
myModel,hist_eqal,sgd_finetune,0.1365190016646325,0.971179723739624,0.9497396945953369,0.9513255953788757,0.9492520093917847,0.971179723739624,0.971179723739624,0.971179723739624,0.9711797307996833,0.9953285827395091
myModel,normalisation,pre-training,0.4312277021887915,0.8998416662216187,0.8887799382209778,0.8709552884101868,0.872277557849884,0.8998416662216187,0.8998416662216187,0.8998416662216187,0.8998416468725258,0.9802850356294537
myModel,normalisation,finetune,0.19497648775459497,0.9621536135673523,0.9464876055717468,0.9495177268981934,0.94647216796875,0.9621536135673523,0.9621536135673523,0.9621536135673523,0.96215360253365,0.9946951702296121
myModel,normalisation,sgd_finetune,0.18305420533756583,0.9656373858451843,0.9515472054481506,0.9559785723686218,0.9526136517524719,0.9656373858451843,0.9656373858451843,0.9656373858451843,0.9656373713380839,0.9946159936658749
myModel,traffic_boost,pre-training,0.27171041682168623,0.939984142780304,0.9209566116333008,0.9171321988105774,0.9169718623161316,0.939984142780304,0.939984142780304,0.939984142780304,0.9399841646872525,0.9904196357878068
myModel,traffic_boost,finetune,0.18230747871131123,0.966825008392334,0.9565889835357666,0.9442905187606812,0.9482132792472839,0.966825008392334,0.966825008392334,0.966825008392334,0.9668250197941409,0.9960411718131433
myModel,traffic_boost,sgd_finetune,0.1868034964622354,0.9667458534240723,0.9565125107765198,0.9470734000205994,0.950038731098175,0.9667458534240723,0.9667458534240723,0.9667458534240723,0.9667458432304038,0.9956452889944576
myModel,edge_boost_str_2_sig_7_0,pre-training,0.22534690787543793,0.943230390548706,0.9225244522094727,0.9100120663642883,0.9115533232688904,0.943230390548706,0.943230390548706,0.943230390548706,0.9432304038004751,0.9931908155186064
myModel,edge_boost_str_2_sig_7_0,finetune,0.20575966866151088,0.9592240452766418,0.9352028369903564,0.9454044103622437,0.938894510269165,0.9592240452766418,0.9592240452766418,0.9592240452766418,0.9592240696753761,0.9942992874109263
myModel,edge_boost_str_2_sig_7_0,sgd_finetune,0.18884074811893772,0.9623911380767822,0.9410371780395508,0.9444194436073303,0.9417657256126404,0.9623911380767822,0.9623911380767822,0.9623911380767822,0.9623911322248614,0.995249406175772
myModel,augmented,pre-training,0.2275417142431897,0.9504354596138,0.9254566431045532,0.924898087978363,0.9216713905334473,0.9504354596138,0.9504354596138,0.9504354596138,0.9504354711005543,0.9878068091844814
myModel,augmented,finetune,0.13490539873451718,0.9725257158279419,0.9625235199928284,0.9642624855041504,0.9624696969985962,0.9725257158279419,0.9725257158279419,0.9725257158279419,0.9725257323832146,0.9944576405384006
myModel,augmented,sgd_finetune,0.2107883690196071,0.9551069140434265,0.9373868107795715,0.9489641189575195,0.9412400126457214,0.9551069140434265,0.9551069140434265,0.9551069140434265,0.9551068883610452,0.9897862232779098
myModel,augmented-balanced,pre-training,0.16888482679504974,0.9588282108306885,0.9447845816612244,0.9506986141204834,0.9457955360412598,0.9588282108306885,0.9588282108306885,0.9588282108306885,0.9588281868566905,0.9953285827395091
myModel,augmented-balanced,finetune,0.1894996913906849,0.9604117274284363,0.9481971859931946,0.9513049721717834,0.9463764429092407,0.9604117274284363,0.9604117274284363,0.9604117274284363,0.9604117181314331,0.9928741092636579
myModel,weighted-loss-augmented-balanced,pre-training,0.1551193836277689,0.9691211581230164,0.954554557800293,0.9656173586845398,0.9584866762161255,0.9691211581230164,0.9691211581230164,0.9691211581230164,0.9691211401425178,0.9966745843230403
myModel,weighted-loss-augmented-balanced,finetune,0.11520888611537328,0.9760887026786804,0.957368016242981,0.9711353182792664,0.9631232619285583,0.9760887026786804,0.9760887026786804,0.9760887026786804,0.9760886777513856,0.998178939034046
